Name ; URL ;   Author ; Price ; Number of Ratings ; Average Rating
The Power of your Subconscious Mind;https://www.amazon.in/Power-your-Subconscious-Mind/dp/8192910962?_encoding=UTF8&psc=1;Joseph Murphy;₹   98.00;2883;4.5 out of 5 stars
A Brief History of Time: From Big Bang to Black Holes;https://www.amazon.in/Brief-History-Time-Black-Holes/dp/0553175211?_encoding=UTF8&psc=1;Stephen Hawking;₹   217.00;519;4.5 out of 5 stars
The Subtle Art of Not Giving a F*ck;https://www.amazon.in/Subtle-Art-Not-Giving/dp/0062641549?_encoding=UTF8&psc=1;Mark Manson;₹   346.00;248;4.3 out of 5 stars
Think and Grow Rich;https://www.amazon.in/Think-Grow-Rich-Napoleon-Hill/dp/8192910911?_encoding=UTF8&psc=1;Napoleon Hill;₹   75.00;2407;4.5 out of 5 stars
Indian Polity 5th Edition;https://www.amazon.in/Indian-Polity-5th-M-Laxmikanth/dp/935260363X?_encoding=UTF8&psc=1;M. Laxmikanth;₹   402.50;1935;4.5 out of 5 stars
Railway Assistant Loco Pilot and Technician 2018;https://www.amazon.in/Railway-Assistant-Loco-Pilot-Technician/dp/9312147560?_encoding=UTF8&psc=1;Arihant Experts;₹   160.00;55;3.9 out of 5 stars
India 2018;https://www.amazon.in/India-2018-Publication-Division/dp/8123027389?_encoding=UTF8&psc=1;Publication Division;₹   230.00;39;3.4 out of 5 stars
A Century is not Enough: My Roller-coaster Ride to Success;https://www.amazon.in/Century-not-Enough-Roller-coaster-Success/dp/9386228564?_encoding=UTF8&psc=1;Sourav Ganguly;₹   394.00;105;4.6 out of 5 stars
Word Power Made Easy;https://www.amazon.in/Word-Power-Made-Norman-Lewis/dp/8183071007?_encoding=UTF8&psc=1;Norman Lewis;₹   109.00;4741;4.4 out of 5 stars
Sapiens;https://www.amazon.in/Sapiens-Yuval-Noah-Harari/dp/0099590085?_encoding=UTF8&psc=1;Yuval Noah Harari;₹   263.00;889;4.6 out of 5 stars
RRB Group D Guide 2018;https://www.amazon.in/RRB-Group-D-Guide-2018/dp/9312147889?_encoding=UTF8&psc=1;Arihant Experts;₹   153.00;34;4.1 out of 5 stars
Manorama Yearbook 2018;https://www.amazon.in/Manorama-Yearbook-2018-Mammen-Mathew/dp/9386025426?_encoding=UTF8&psc=1;Mammen Mathew;₹   195.00;139;4.1 out of 5 stars
Will You Still Love Me?;https://www.amazon.in/Will-You-Still-Love-Me/dp/0143429361?_encoding=UTF8&psc=1;RAVINDER SINGH;₹   103.00;72;4.8 out of 5 stars
Mathematics for Class 10 by R D Sharma (2018-19 Session);https://www.amazon.in/Mathematics-Class-Sharma-2018-19-Session/dp/8193647920?_encoding=UTF8&psc=1;R.D. Sharma;₹   455.00;20;4.8 out of 5 stars
General Knowledge 2019;https://www.amazon.in/General-Knowledge-2019-Manohar-Pandey/dp/9312147307?_encoding=UTF8&psc=1;Manohar Pandey;₹   25.00;38;4.2 out of 5 stars
Immortal Talks;https://www.amazon.in/Immortal-Talks-Shunya/dp/8193305205?_encoding=UTF8&psc=1;Shunya;₹   249.00;525;4.8 out of 5 stars
Quantitative Aptitude for Competitive Examinations;https://www.amazon.in/Quantitative-Aptitude-Competitive-Examinations-Aggarwal/dp/9352534026?_encoding=UTF8&psc=1;R S Aggarwal;₹   525.00;581;4.3 out of 5 stars
How to Win Friends and Influence People;https://www.amazon.in/How-Win-Friends-Influence-People/dp/0091906350?_encoding=UTF8&psc=1;Dale Carnegie;₹   169.00;1827;4.5 out of 5 stars
The Alchemist;https://www.amazon.in/Alchemist-Paulo-Coelho/dp/8172234988?_encoding=UTF8&psc=1;Paulo Coelho;₹   210.00;2969;4.6 out of 5 stars
A Brief History of Modern India;https://www.amazon.in/Brief-History-Modern-India/dp/8179306542?_encoding=UTF8&psc=1;Rajiv Ahir;₹   265.00;137;4.2 out of 5 stars
Rich Dad Poor Dad: What the Rich Teach their Kids About Money that the Poor and Middle Class Do Not! (With Updates for Today's World);https://www.amazon.in/Rich-Dad-Poor-Middle-Updates/dp/1612680194?_encoding=UTF8&psc=1;Robert T Kiyosaki;₹   280.00;2496;4.5 out of 5 stars
1984;https://www.amazon.in/1984-George-Orwell/dp/8192910903?_encoding=UTF8&psc=1;George Orwell;₹   98.00;473;4.4 out of 5 stars
Exam Warriors;https://www.amazon.in/Exam-Warriors-Narendra-Modi/dp/0143441507?_encoding=UTF8&psc=1;Narendra Modi;₹   57.00;293;4.4 out of 5 stars
